Year,Month,Day,Hour,Minute,Seconds,Subject,Experiment,Trial,Distractor_num,Distractor_size,Setup_time(s),Inspection_time(s),Search_time(s),Input_time(s),Accuracy
2019,5,29,17,29,2.435,9,2,6,6,1.5,1.9087,2.5152,21.748,2.0066,1
2019,5,29,17,29,19.454,9,2,7,6,1.25,1.4572,1.2572,4.2392,1.5937,1
2019,5,29,17,29,38.86,9,2,8,4,1.75,2.3199,1.6577,6.7576,1.829,1
2019,5,29,17,30,4.431,9,2,9,6,0.5,1.2548,1.5402,10.529,3.9091,1
2019,5,29,17,30,21.604,9,2,10,4,1.5,1.3313,1.7389,4.6105,1.4744,1
2019,5,29,17,30,56.843,9,2,11,4,0.75,1.724,1.7035,22.593,1.9292,1
2019,5,29,17,31,15.913,9,2,12,6,0.75,1.3639,1.3551,4.9056,1.7788,1
2019,5,29,17,31,32.907,9,2,13,8,1.75,1.3834,1.8952,4.6874,1.7297,1
2019,5,29,17,31,51.948,9,2,14,4,0.5,1.324,1.8665,6.7599,1.7187,1
2019,5,29,17,32,11.517,9,2,15,4,0.25,1.5543,1.2454,7.3814,1.1316,1
2019,5,29,17,32,29.412,9,2,16,6,1.75,1.3876,1.6129,3.9081,1.7359,1
2019,5,29,17,32,49.01,9,2,17,8,1.5,2.1914,1.4934,3.8021,2.9226,1
2019,5,29,17,33,22.304,9,2,18,6,0.25,8.8283,1.6787,1.2687,5.9212,1
2019,5,30,9,17,59.03,10,2,1,4,0.25,1.7316,1.1714,6.6842,2.8167,1
2019,5,30,9,18,29.639,10,2,2,8,1.25,1.2489,1.7648,9.5035,2.2689,0
2019,5,30,9,18,53.134,10,2,3,8,1.75,1.362,1.6074,5.6022,2.2682,1
2019,5,30,9,19,20.725,10,2,4,8,0.75,1.6079,1.5075,10.493,2.0361,1
2019,5,30,9,19,44.982,10,2,5,4,0.75,1.2303,1.3574,7.6452,2.4386,1
2019,5,30,9,20,12.227,10,2,6,6,0.75,1.3748,1.1501,12.818,1.8153,0
2019,5,30,9,20,31.91,10,2,7,6,0.25,1.3415,1.5836,3.6522,2.4865,1
2019,5,30,9,20,58.244,10,2,8,4,1.25,1.4544,1.3072,9.7173,1.9994,0
2019,5,30,9,21,22.261,10,2,9,6,1.75,1.5092,1.2512,6.801,2.0287,1
2019,5,30,9,21,46.79,10,2,10,4,1.5,1.2064,1.3313,7.1962,2.5532,1
2019,5,30,9,22,13.719,10,2,11,6,1.5,1.4643,1.6407,8.7378,2.4033,0
2019,5,30,9,22,38.432,10,2,12,8,0.5,1.5904,1.587,8.2718,1.8478,1
2019,5,30,9,23,2.991,10,2,13,8,0.25,1.5961,1.4913,7.3805,2.2851,1
2019,5,30,9,23,30.426,10,2,14,6,1.25,1.9418,1.5561,9.8722,1.9796,1
2019,5,30,9,23,51.927,10,2,15,4,0.5,1.2437,1.2812,4.7546,3.0847,1
2019,5,30,9,24,19.693,10,2,16,4,1.75,1.7331,1.7584,9.0092,2.7668,1
2019,5,30,9,24,40.489,10,2,17,6,0.5,1.3956,1.4477,5.8949,1.8484,1
2019,5,30,9,25,7.467,10,2,18,8,1.5,1.6266,1.4484,5.5014,2.4624,1
2019,5,30,11,21,49.739,11,2,1,8,1.75,1.4581,1.8431,4.5202,1.9504,1
2019,5,30,11,22,22.194,11,2,2,6,1.75,1.3442,1.4207,18.692,3.0391,1
2019,5,30,11,22,44.023,11,2,3,4,0.75,1.4644,1.1129,2.5938,9.2461,1
2019,5,30,11,23,12.977,11,2,4,8,1.25,1.6025,1.3615,15.427,2.8173,0
2019,5,30,11,23,32.951,11,2,5,4,1.75,1.2243,1.7792,7.1579,2.2535,1
2019,5,30,11,23,53.109,11,2,6,4,1.25,3.4345,1.4358,5.431,2.2736,1
2019,5,30,11,24,14.733,11,2,7,6,1.25,1.4415,2.62,6.6523,2.4412,1
2019,5,30,11,24,32.236,11,2,8,4,0.25,1.3086,1.2823,4.9773,2.3359,1
2019,5,30,11,24,49.936,11,2,9,4,0.5,1.5408,1.2389,4.6755,2.2752,1
2019,5,30,11,25,5.471,11,2,10,6,1.5,1.4577,1.4977,3.0046,2.1403,1
2019,5,30,11,25,46.387,11,2,11,8,1.5,1.5468,20.323,1.9972,2.7091,1
2019,5,30,11,26,4.218,11,2,12,4,1.5,1.1487,1.9455,4.6514,1.8098,1
2019,5,30,11,26,41.725,11,2,13,6,0.75,1.6112,1.2276,24.052,2.9319,1
2019,5,30,11,27,40.774,11,2,14,8,0.75,1.5462,1.7627,46.389,2.3201,1
2019,5,30,11,27,59.037,11,2,15,6,0.25,1.1635,1.7617,4.271,2.5911,1
2019,5,30,11,28,18.511,11,2,16,8,0.5,1.6903,2.7432,6.726,1.795,1
2019,5,30,11,28,34.302,11,2,17,8,0.25,1.6533,1.1747,4.5354,1.2699,1
2019,5,30,11,28,55.781,11,2,18,6,0.5,1.5793,1.3829,8.7445,2.0893,1
2019,5,30,13,19,13.814,12,2,1,6,0.75,1.857,1.5967,17.68,2.0264,1
2019,5,30,13,19,52.276,12,2,2,4,1.5,2.493,1.4724,25.713,1.6291,1
2019,5,30,13,20,18.311,12,2,3,6,1.5,1.5419,1.2397,13.782,2.0258,1
2019,5,30,13,21,0.757,12,2,4,6,1.25,1.6432,1.322,29.81,1.7122,1
2019,5,30,13,21,25.905,12,2,5,6,1.75,1.2222,2.4648,12.413,2.1473,1
2019,5,30,13,22,1.439,12,2,6,4,1.25,1.1947,1.8726,21.566,1.9485,1
2019,5,30,13,22,28.996,12,2,7,6,0.5,2.2456,1.1617,13.509,2.1699,1
2019,5,30,13,22,46.473,12,2,8,8,0.25,1.3939,2.051,5.4556,1.9519,1
2019,5,30,13,24,8.333,12,2,9,8,0.75,1.3857,2.0504,68.388,2.9349,1
2019,5,30,13,24,33.513,12,2,10,8,1.5,1.3442,2.0981,11.85,2.2649,1
2019,5,30,13,25,0.487,12,2,11,8,0.5,1.2753,3.0632,13.104,1.8667,1
2019,5,30,13,25,36.276,12,2,12,4,0.75,2.0126,2.0054,22.951,1.8945,1
2019,5,30,13,25,57.603,12,2,13,4,1.75,1.5569,1.8002,8.748,2.1383,1
2019,5,30,13,26,16.881,12,2,14,4,0.25,1.1785,2.4098,6.5828,2.1161,1
2019,5,30,13,26,37.911,12,2,15,6,0.25,1.6039,4.1106,5.9877,2.4427,1
2019,5,30,13,27,1.744,12,2,16,8,1.25,2.2225,1.1098,11.738,1.9127,1
2019,5,30,13,27,23.023,12,2,17,8,1.75,1.2101,1.2343,8.824,2.4184,1
2019,5,30,13,27,42.941,12,2,18,4,0.5,1.3613,1.4798,7.6624,1.9224,1
2019,5,30,14,26,1.823,13,2,1,4,0.5,11.217,29.994,4.3472,11.59,1
2019,5,30,14,26,48.784,13,2,2,6,1.25,1.2602,1.7551,16.695,2.81,1
